player_id,player_name,team,pos,sources,G,Carries,RuYds,RuTD,Rec,ReYds,ReTD,FumLost,PYds,PTD,INT,NFC_ADP
19486,"Isiah Pacheco",KC,rb,clay|cbs|nfl,16,132.3,812.3,5.7,34.3,237,1,0.7,0,0,0,76.6
17067,"Tony Pollard",TEN,rb,clay|cbs|nfl,16,153.7,962.3,5.3,41.3,277.3,0.7,0.7,0,0,0,77.3
22058,"Travis Hunter",JAX,wr,clay|cbs|nfl,16.5,1.3,17.7,0,71,943,5.7,0.7,0,0,0,77.7
20274,"Jordan Addison",MIN,wr,clay|cbs|nfl,14,0.7,9.3,0,60.3,797.7,6,0.3,0,0,0,78.2
22111,"RJ Harvey",DEN,rb,clay|cbs|nfl,16,129,821,5.7,38.7,303.3,2,1,0,0,0,79.6
15316,"Chris Godwin",TB,wr,clay|cbs|nfl,13,0.7,6.3,0,71.7,831,6,0.3,0,0,0,79.7
18033,"Jauan Jennings",SF,wr,clay|cbs|nfl,16.5,0,1.7,0,67,895,5,0.3,0,0,0,81
17014,"T.J. Hockenson",MIN,te,clay|cbs|nfl,16.5,0,0,0,76.3,809.7,4.3,0.3,0,0,0,81.3
17019,"Deebo Samuel",WAS,wr,clay|cbs|nfl,15.5,9,80.3,1,64,821,5,0.7,0,0,0,82.6
21146,"Ricky Pearsall",SF,wr,clay|cbs|nfl,16.5,1.3,28,0,62.3,866.7,5.3,0.3,0,0,0,83.1
11842,"Travis Kelce",KC,te,clay|cbs|nfl,16.5,0,0.3,0,77.3,758.7,5,0.7,0,0,0,86.8
19462,"Khalil Shakir",BUF,wr,clay|cbs|nfl,16.5,0,3.7,0,75,830,4.7,0.3,0,0,0,89.3
21183,"Tyrone Tracy Jr.",NYG,rb,clay|cbs|nfl,16,130.7,823.7,4.7,36.3,276,1.3,1,0,0,0,89.8
14748,"Jared Goff",DET,qb,clay|cbs|nfl,16.5,22,62,0.7,0,0,0,0.7,4343,28.7,11.7,90
19468,"Brian Robinson Jr.",WAS,rb,clay|cbs|nfl,16,96.7,572.3,5.3,17,131,1,0.7,0,0,0,90.2
13671,"Stefon Diggs",NE,wr,clay|cbs|nfl,16,0.7,8,0,76,822.7,5,0.3,0,0,0,91.8
22063,"Emeka Egbuka",TB,wr,clay|cbs|nfl,16.5,1.3,15,0,62,818,5.7,1,0,0,0,91.9
14553,"Dak Prescott",DAL,qb,clay|cbs|nfl,16.5,30.7,183.7,2,0,0,0,0.7,4310.7,28.3,13,92.1
17009,"Kyler Murray",ARZ,qb,clay|cbs|nfl,16.5,57.3,575.7,5,0,0,0,1.3,3780.3,24.3,11,92.4
15283,"Cooper Kupp",SEA,wr,clay|cbs|nfl,16,0.7,9.7,0,73.7,814.3,5,0.3,0,0,0,94.6
16075,"Mark Andrews",BLT,te,clay|cbs|nfl,16.5,1.7,7.3,0,58.3,699.7,7.7,0.7,0,0,0,95
20311,"Jayden Reed",GB,wr,clay|cbs|nfl,15.5,4.7,66.3,0.7,54,719.3,5,0.7,0,0,0,95.3
20283,"Josh Downs",IND,wr,clay|cbs|nfl,16.5,0,5.7,0,69.3,790.3,4.7,0.3,0,0,0,97.6
19833,"Jaylen Warren",PIT,rb,clay|cbs|nfl,16.5,94.7,670,3.3,49.7,371.7,1,0.7,0,0,0,97.7
21124,"Caleb Williams",CHI,qb,clay|cbs|nfl,16.5,54,468.7,2,0,0,0,1.7,3791.3,24.7,11,98
18770,"Travis Etienne",JAX,rb,clay|cbs|nfl,16,93.3,571,3.7,40.3,304.7,1,0.7,0,0,0,99.3
19742,"Brock Purdy",SF,qb,clay|cbs|nfl,16.5,41,274,4.3,0,0,0,1,4400,26.7,12.7,101
15238,"Evan Engram",DEN,te,clay|cbs|nfl,16,0.7,2,0,74.3,653.3,4,0.7,0,0,0,102.9
22085,"Matthew Golden",GB,wr,clay|cbs|nfl,16.5,0,11,0,64,931,6,0.7,0,0,0,103.9
19872,"Jordan Mason",MIN,rb,clay|cbs|nfl,16.5,119,814.3,4.3,15.7,115.7,0.3,0.3,0,0,0,106.5
19469,"Zach Charbonnet",SEA,rb,clay|cbs|nfl,16.5,76,501,4.3,34,255.3,0.7,0.7,0,0,0,107.7
17995,"Michael Pittman Jr.",IND,wr,clay|cbs|nfl,16,0,1.7,0,79,905.3,4.3,0.7,0,0,0,108.5
17976,"Justin Herbert",LAC,qb,clay|cbs|nfl,16.5,42.3,254.3,2.7,0,0,0,0.7,3928.7,25.3,9.3,108.9
15227,"David Njoku",CLV,te,clay|cbs|nfl,16,0,0,0,75.7,707.7,5,0.7,0,0,0,109.5
22062,"Quinshon Judkins",CLV,rb,clay|cbs|nfl,14,123.3,737.3,5,22,166.7,1,1,0,0,0,110.2
